S,siggma,P,Q,diferenciasfinitas,blackscholes,ejerciciotempranodf,tilley,ejerciciotempranotilley,dftilley
81,0.2,200,100,19.0003,16.2137,2.7866,16.2025,-0.0112358,2.79783
81,0.2,50,400,19.0003,16.2137,2.7866,16.2388,0.0251076,2.76149
81,0.2,25,800,19.0003,16.2137,2.7866,16.2216,0.00787666,2.77872
95,0.2,200,100,8.45098,7.63381,0.817167,7.67062,0.0368018,0.780365
95,0.2,50,400,8.45098,7.63381,0.817167,7.56342,-0.0703957,0.887562
95,0.2,25,800,8.45098,7.63381,0.817167,7.72561,0.0917953,0.725371
100,0.2,200,100,6.09035,5.57353,0.516824,5.58903,0.0155029,0.501322
100,0.2,50,400,6.09035,5.57353,0.516824,5.53462,-0.0389092,0.555734
100,0.2,25,800,6.09035,5.57353,0.516824,5.49483,-0.0786913,0.595516
105,0.2,200,100,4.30441,3.98085,0.323559,4.01835,0.0374964,0.286063
105,0.2,50,400,4.30441,3.98085,0.323559,4.03435,0.0534992,0.27006
105,0.2,25,800,4.30441,3.98085,0.323559,4.05491,0.0740616,0.249498
119,0.2,200,100,1.48235,1.39936,0.0829902,1.37807,-0.0212872,0.104277
119,0.2,50,400,1.48235,1.39936,0.0829902,1.40677,0.00740863,0.0755816
119,0.2,25,800,1.48235,1.39936,0.0829902,1.36719,-0.0321696,0.11516
81,0.4,200,100,23.2923,22.1152,1.17718,21.9752,-0.139978,1.31716
81,0.4,50,400,23.2923,22.1152,1.17718,22.3841,0.268941,0.908237
81,0.4,25,800,23.2923,22.1152,1.17718,21.6946,-0.420531,1.59771
95,0.4,200,100,15.7732,15.1306,0.642551,14.9186,-0.212027,0.854578
95,0.4,50,400,15.7732,15.1306,0.642551,15.2147,0.0840417,0.558509
95,0.4,25,800,15.7732,15.1306,0.642551,15.3833,0.252623,0.389927
100,0.4,200,100,13.6652,13.1459,0.519264,13.2087,0.0627637,0.4565
100,0.4,50,400,13.6652,13.1459,0.519264,13.0445,-0.101421,0.620685
100,0.4,25,800,13.6652,13.1459,0.519264,13.1078,-0.0380484,0.557312
105,0.4,200,100,11.8173,11.3976,0.419676,11.3767,-0.0209462,0.440622
105,0.4,50,400,11.8173,11.3976,0.419676,11.3699,-0.0276933,0.447369
105,0.4,25,800,11.8173,11.3976,0.419676,11.5858,0.188167,0.231509
119,0.4,200,100,7.80419,7.57778,0.226408,7.67109,0.0933059,0.133102
119,0.4,50,400,7.80419,7.57778,0.226408,7.75822,0.180437,0.0459706
119,0.4,25,800,7.80419,7.57778,0.226408,7.5852,0.00742348,0.218984
