S,siggma,diferenciasfinitas,blackscholes,ejerciciotempranodf,longstaff,ejerciciotempranols,dfls
81,0.2,19.0003,16.2137,2.7866,19.0081,2.79445,-0.00785748
95,0.2,8.45098,7.63381,0.817167,8.41724,0.783421,0.0337451
100,0.2,6.09035,5.57353,0.516824,6.11295,0.539423,-0.0225991
105,0.2,4.30441,3.98085,0.323559,4.29695,0.316101,0.0074582
119,0.2,1.48235,1.39936,0.0829902,1.5175,0.118137,-0.0351467
81,0.4,23.2923,22.1152,1.17718,23.2497,1.13457,0.0426082
95,0.4,15.7732,15.1306,0.642551,15.8324,0.701798,-0.0592473
100,0.4,13.6652,13.1459,0.519264,13.6349,0.489024,0.0302402
105,0.4,11.8173,11.3976,0.419676,11.832,0.434351,-0.0146752
119,0.4,7.80419,7.57778,0.226408,7.93185,0.354068,-0.12766
